canonical_id,display_name,fpl_id,understat_id,statsbomb_id,birth_date,confidence,method,verified_at
fpl-player-226,Jordan Pickford,226,,,,1.0,exact,
fpl-player-227,Mark Travers,227,,,,1.0,exact,
fpl-player-228,Tom King,228,,,,1.0,exact,
fpl-player-229,James Tarkowski,229,,,,1.0,exact,
fpl-player-230,Jarrad Branthwaite,230,,,,1.0,exact,
fpl-player-231,Michael Keane,231,,,,1.0,exact,
fpl-player-232,Jake O'Brien,232,,,,1.0,exact,
fpl-player-233,Vitalii Mykolenko,233,,,,1.0,exact,
fpl-player-234,Nathan Patterson,234,,,,1.0,exact,
fpl-player-235,Adam Aznou,235,,,,1.0,exact,
fpl-player-236,Kiernan Dewsbury-Hall,236,,,,1.0,exact,
fpl-player-237,Iliman Ndiaye,237,,,,1.0,exact,
fpl-player-239,James Garner,239,,,,1.0,exact,
fpl-player-240,Tim Iroegbunam,240,,,,1.0,exact,
fpl-player-242,Tyrique George,242,,,,1.0,exact,
fpl-player-243,Carlos Alcaraz Durán,243,,,,1.0,exact,
fpl-player-244,Harrison Armstrong,244,,,,1.0,exact,
fpl-player-245,Tyler Dibling,245,,,,1.0,exact,
fpl-player-246,Merlin Röhl,246,,,,1.0,exact,
fpl-player-247,Hayden Hackney,247,,,,1.0,exact,
fpl-player-248,Norberto Bercique Gomes Betuncal,248,,,,1.0,exact,
fpl-player-249,Thierno Barry,249,,,,1.0,exact,
fpl-player-250,Bernd Leno,250,,,,1.0,exact,
fpl-player-251,Benjamin Lecomte,251,,,,1.0,exact,
fpl-player-252,Alfie McNally,252,,,,1.0,exact,
fpl-player-253,Joachim Andersen,253,,,,1.0,exact,
fpl-player-254,Antonee Robinson,254,,,,1.0,exact,
fpl-player-255,Jorge Cuenca Barreno,255,,,,1.0,exact,
fpl-player-256,Kenny Tete,256,,,,1.0,exact,
fpl-player-257,Calvin Bassey,257,,,,1.0,exact,
fpl-player-258,Timothy Castagne,258,,,,1.0,exact,
fpl-player-261,Alex Iwobi,261,,,,1.0,exact,
fpl-player-262,Emile Smith Rowe,262,,,,1.0,exact,
fpl-player-263,Kevin Santos Lopes de Macedo,263,,,,1.0,exact,
fpl-player-264,Oscar Bobb,264,,,,1.0,exact,
fpl-player-265,Sander Berge,265,,,,1.0,exact,
fpl-player-266,Tom Cairney,266,,,,1.0,exact,
fpl-player-268,Josh King,268,,,,1.0,exact,
fpl-player-269,Ryan Sessegnon,269,,,,1.0,exact,
fpl-player-270,Harrison Reed,270,,,,1.0,exact,
fpl-player-271,Rodrigo Muniz Carvalho,271,,,,1.0,exact,
fpl-player-272,Jonah Kusi-Asare,272,,,,1.0,exact,
fpl-player-569,Gonzalo García,569,,,,1.0,exact,
fpl-player-570,César Palacios,570,,,,1.0,exact,
fpl-player-580,Shea Charles,580,,,,1.0,exact,
fpl-player-273,Dillon Phillips,273,,,,1.0,exact,
fpl-player-274,Jack Butland,274,,,,1.0,exact,
fpl-player-275,Harvey Cartwright,275,,,,1.0,exact,
fpl-player-276,Thimothée Lo-Tutala,276,,,,1.0,exact,
fpl-player-277,John Egan,277,,,,1.0,exact,
fpl-player-278,Charlie Hughes,278,,,,1.0,exact,
fpl-player-279,Semi Ajayi,279,,,,1.0,exact,
fpl-player-280,Lewie Coyle,280,,,,1.0,exact,
fpl-player-281,Cody Drameh,281,,,,1.0,exact,
fpl-player-282,Ryan Giles,282,,,,1.0,exact,
fpl-player-283,Matty Jacob,283,,,,1.0,exact,
fpl-player-284,Cathal McCarthy,284,,,,1.0,exact,
fpl-player-285,Paddy McNair,285,,,,1.0,exact,
fpl-player-286,Mohamed Belloumi,286,,,,1.0,exact,
fpl-player-287,Liam Millar,287,,,,1.0,exact,
fpl-player-288,Kieran Dowell,288,,,,1.0,exact,
fpl-player-289,Matt Crooks,289,,,,1.0,exact,
fpl-player-290,Regan Slater,290,,,,1.0,exact,
fpl-player-291,Eliot Matazo,291,,,,1.0,exact,
fpl-player-292,Abdülkadir Ömür,292,,,,1.0,exact,
fpl-player-293,Abu Kamara,293,,,,1.0,exact,
fpl-player-294,Óscar Zambrano,294,,,,1.0,exact,
fpl-player-295,Oli McBurnie,295,,,,1.0,exact,
fpl-player-296,David Akintola,296,,,,1.0,exact,
fpl-player-297,Darko Gyabi,297,,,,1.0,exact,
fpl-player-298,Enis Destan,298,,,,1.0,exact,
fpl-player-299,Mason Burstow,299,,,,1.0,exact,
fpl-player-340,Joe Gelhardt,340,,,,1.0,exact,
fpl-player-556,Matt Targett,556,,,,1.0,exact,
fpl-player-563,Hidemasa Morita,563,,,,1.0,exact,
fpl-player-572,Konstantinos Tzolakis,572,,,,1.0,exact,
fpl-player-574,Jens Hjertø-Dahl,574,,,,1.0,exact,
fpl-player-576,Elliot Stroud,576,,,,1.0,exact,
fpl-player-585,Lucas Herrington,585,,,,1.0,exact,
fpl-player-586,Nobel Mendy,586,,,,1.0,exact,
fpl-player-589,Lucas Gourna-Douath,589,,,,1.0,exact,
fpl-player-259,Issa Diop,259,,,,1.0,exact,
fpl-player-267,Saša Lukić,267,,,,1.0,exact,
fpl-player-300,Christian Walton,300,,,,1.0,exact,
fpl-player-301,Alex Palmer,301,,,,1.0,exact,
fpl-player-302,David Button,302,,,,1.0,exact,
fpl-player-303,Cédric Kipré,303,,,,1.0,exact,
fpl-player-304,Dara O'Shea,304,,,,1.0,exact,
fpl-player-305,Leif Davis,305,,,,1.0,exact,
fpl-player-306,Jacob Greaves,306,,,,1.0,exact,
fpl-player-307,Ben Johnson,307,,,,1.0,exact,
fpl-player-308,Darnell Furlong,308,,,,1.0,exact,
